config,method,time_bin,distances_mean,distances_std,distances_sem,local_betweenness_mean,local_betweenness_std,local_betweenness_sem,cost_benefit_mean,cost_benefit_std,cost_benefit_sem,isolated_ratio_mean,isolated_ratio_std,isolated_ratio_sem
BA-localized,Adaptive TD,0.676768,1.0,0.0,0.0,0.0012147677326765477,0.0009722269855796933,9.722269855796933e-05,3.5644801530934394,4.077212725885248,0.4077212725885248,0.4994830659536542,0.14092861503857326,0.014092861503857326
BA-localized,Adaptive TD,0.686869,1.0,0.0,0.0,0.0010169493049803453,0.0008720209082119144,8.720209082119144e-05,3.2872918639520305,3.864663129781197,0.38646631297811973,0.5151554763319472,0.1404778732860645,0.01404778732860645
BA-localized,Adaptive TD,0.69697,1.0,0.0,0.0,0.001289158753028421,0.0010365962892221923,0.00010365962892221923,4.57245501893939,6.06796197799178,0.606796197799178,0.5328461081402258,0.14126685809726683,0.014126685809726683
BA-localized,Adaptive TD,0.707071,1.0,0.0,0.0,0.001096477468375991,0.0009338077239485658,9.338077239485659e-05,4.750016769255048,7.768980182836452,0.7768980182836451,0.5469637551990495,0.13914665501596774,0.013914665501596774
BA-localized,Adaptive TD,0.717172,1.0,0.0,0.0,0.0010297083757608797,0.0008551394808259782,8.551394808259781e-05,4.754719756155301,6.2769638607790625,0.6276963860779062,0.5636284412755004,0.14004212425680054,0.014004212425680054
BA-localized,Adaptive TD,0.727273,1.0,0.0,0.0,0.0009897121283354926,0.00107280544331826,0.000107280544331826,3.386150568181803,4.57007365222875,0.457007365222875,0.5801960784313726,0.13944191245647908,0.013944191245647908
BA-localized,Adaptive TD,0.737374,1.0,0.0,0.0,0.0008361396939871094,0.0008814563773749136,8.814563773749136e-05,4.037658222853568,8.406636105172613,0.8406636105172612,0.5983006535947714,0.13431231850880399,0.0134312318508804
BA-localized,Adaptive TD,0.747475,1.0,0.0,0.0,0.0009811639395242173,0.0009650734191281194,9.650734191281194e-05,4.73197265625004,8.062745651225733,0.8062745651225732,0.6170271340859578,0.13406643598568574,0.013406643598568574
BA-localized,Adaptive TD,0.757576,1.0,0.0,0.0,0.0008585594898080411,0.0008487042590506433,8.487042590506433e-05,3.809131451231076,4.498544622704664,0.4498544622704664,0.6358467023172908,0.13382446921599986,0.013382446921599987
BA-localized,Adaptive TD,0.767677,1.0,0.0,0.0,0.0007245376409961682,0.0007806116732139857,7.806116732139857e-05,5.684375493213391,10.446850726199342,1.0446850726199342,0.6571103188750247,0.13302117906328687,0.013302117906328686
BA-localized,Adaptive TD,0.777778,1.0,0.0,0.0,0.0007307834461139658,0.0007612568004550442,7.612568004550443e-05,4.421575520833347,6.462505928616804,0.6462505928616804,0.6779520697167755,0.1330794070584312,0.013307940705843119
BA-localized,Adaptive TD,0.787879,1.0,0.0,0.0,0.0006945481068637303,0.000853302204159431,8.53302204159431e-05,3.6792714251894107,5.4257471604096965,0.5425747160409696,0.6956743909685089,0.12683021925863397,0.012683021925863397
BA-localized,Adaptive TD,0.79798,1.0,0.0,0.0,0.0007301476140056583,0.0010001583234146114,0.00010001583234146115,4.3393212397411585,6.509360653012357,0.6509360653012357,0.7146821152703502,0.12569051548367607,0.012569051548367608
BA-localized,Adaptive TD,0.808081,1.0,0.0,0.0,0.0007045318212604564,0.000961818528437227,9.61818528437227e-05,3.6531650489267933,4.879425134691138,0.48794251346911377,0.7328995840760544,0.11918521532423992,0.011918521532423992
BA-localized,Adaptive TD,0.818182,1.0,0.0,0.0,0.0007156500485640731,0.0009322963301979275,9.322963301979275e-05,6.910511363636348,16.750360932362835,1.6750360932362836,0.7561319073083774,0.11189744837108943,0.011189744837108943
BA-localized,Adaptive TD,0.828283,1.0,0.0,0.0,0.0005182475725352167,0.0006556204061945419,6.556204061945419e-05,3.6011442550504764,4.597250342921871,0.45972503429218714,0.7785482273717562,0.10422809632245639,0.01042280963224564
BA-localized,Adaptive TD,0.838384,1.0,0.0,0.0,0.0004027228121454946,0.0005652185460255617,5.652185460255617e-05,3.2227937578913894,6.409979539212774,0.6409979539212773,0.792212319271142,0.09814410397178633,0.009814410397178633
BA-localized,Adaptive TD,0.848485,1.0,0.0,0.0,0.0004002251619974563,0.0006157643265094157,6.157643265094157e-05,5.0184709398673935,7.790995331587003,0.7790995331587003,0.8102911467617343,0.0941105976941946,0.00941105976941946
BA-localized,Adaptive TD,0.858586,1.0,0.0,0.0,0.0003696751136679491,0.0007432803298412753,7.432803298412752e-05,4.556330492424226,13.230306536754027,1.3230306536754026,0.8275975440681321,0.08971936574595042,0.008971936574595041
BA-localized,Adaptive TD,0.868687,1.0,0.0,0.0,0.0004079647338486902,0.0007317829647065852,7.317829647065851e-05,6.004370561079594,17.386803069493386,1.7386803069493386,0.842394533571004,0.08417923806930491,0.008417923806930492
BA-localized,Adaptive TD,0.878788,1.0,0.0,0.0,0.00029655637203026565,0.0005917002587936278,5.9170025879362785e-05,3.7981898082386167,8.096254761330373,0.8096254761330373,0.8574925727866899,0.07771030646518061,0.007771030646518061
BA-localized,Adaptive TD,0.888889,1.0,0.0,0.0,0.00020063092871330129,0.00038813132272173193,3.881313227217319e-05,3.141979166666657,6.095239758041252,0.6095239758041252,0.8749455337690627,0.07095643500900432,0.007095643500900433
BA-localized,Adaptive TD,0.89899,1.0,0.0,0.0,0.00027115815821523277,0.000580588908981634,5.805889089816341e-05,3.3447834793244926,6.183979755282849,0.6183979755282849,0.887777777777777,0.06578512376070267,0.006578512376070267
BA-localized,Adaptive TD,0.909091,1.0,0.0,0.0,0.00022090929058054032,0.000385164320084908,3.85164320084908e-05,4.351030717329557,8.89979609538712,0.889979609538712,0.9016221033868085,0.060504630967791684,0.006050463096779169
BA-localized,Adaptive TD,0.919192,1.0,0.0,0.0,0.00014876394282121758,0.00027153495571788247,2.7153495571788246e-05,3.339312657828299,8.925202245421872,0.8925202245421872,0.9153792830263409,0.05711010766204831,0.005711010766204831
BA-localized,Adaptive TD,0.929293,1.0,0.0,0.0,0.00013419805785710906,0.0002504381653399711,2.504381653399711e-05,3.0014654356060437,6.541030479807671,0.6541030479807671,0.928362051891463,0.0558730046368551,0.00558730046368551
BA-localized,Adaptive TD,0.939394,1.0,0.0,0.0,0.00016131680455703918,0.0003524426052454453,3.524426052454453e-05,2.4811615175189647,7.9174807309728426,0.7917480730972842,0.9409803921568616,0.0440229516413574,0.00440229516413574
BA-localized,Adaptive TD,0.949495,1.0,0.0,0.0,8.357890707822952e-05,0.0003000520710492214,3.000520710492214e-05,1.7091038312815663,5.241960563763639,0.5241960563763639,0.9483759160229737,0.03885171298775827,0.0038851712987758268
BA-localized,Adaptive TD,0.959596,1.0,0.0,0.0,6.811829183652568e-05,0.0001988363296823954,1.988363296823954e-05,2.2250886797663996,8.940095463482137,0.8940095463482137,0.9554802931273508,0.03054439466781111,0.003054439466781111
BA-localized,Adaptive TD,0.969697,1.0,0.0,0.0,8.45815773285306e-05,0.00016780680096066747,1.678068009606675e-05,1.9026941287879016,3.894191954753711,0.38941919547537107,0.9647177658942357,0.024661108451052818,0.002466110845105282
BA-localized,Adaptive TD,0.979798,1.0,0.0,0.0,4.848571399821324e-05,0.0001504776318861593,1.504776318861593e-05,1.6519961332070547,4.902851113659271,0.4902851113659271,0.9696553773024352,0.018349487903806454,0.0018349487903806454
BA-localized,Adaptive TD,0.989899,1.0,0.0,0.0,2.6665846713123663e-05,8.453594445357792e-05,8.453594445357791e-06,0.704104324494963,3.4927498685452396,0.34927498685452396,0.9736066547831247,0.012498249934439149,0.0012498249934439149
BA-localized,Adaptive TD,1.0,1.0,0.0,0.0,0.000343135120478619,0.00020016324323099662,2.0016324323099663e-05,15.5071875,18.712759628237773,1.8712759628237774,1.0,0.0,0.0
BA-localized,Adaptive Katz,0.0,1.0,0.0,0.0,0.008673875244740408,0.0036324855846415704,0.000363248558464157,0.959697265625,0.0945432398735099,0.00945432398735099,0.0,0.0,0.0
BA-localized,Adaptive Katz,0.010101,1.0,0.0,0.0,0.006527673264836875,0.003627526512679396,0.00036275265126793963,1.240532769097222,0.6285603449776527,0.06285603449776526,0.0010259457318280846,0.004078513780889764,0.0004078513780889764
BA-localized,Adaptive Katz,0.020202,1.0,0.0,0.0,0.0054199415433772,0.002727102231323935,0.00027271022313239354,1.4332592526830805,0.8346339707759703,0.08346339707759703,0.0022737175678352144,0.007656741478166926,0.0007656741478166926
BA-localized,Adaptive Katz,0.030303,1.0,0.0,0.0,0.004115728478808104,0.001984237784882488,0.00019842377848824878,1.3916042258522727,0.7393679222234829,0.0739367922223483,0.004711824123588829,0.012684046588487811,0.0012684046588487812
BA-localized,Adaptive Katz,0.040404,1.0,0.0,0.0,0.003633179515700129,0.0014554445268827848,0.00014554445268827847,1.3815263967803029,0.7561280423358403,0.07561280423358403,0.005292137056842938,0.01325457615554939,0.001325457615554939
BA-localized,Adaptive Katz,0.050505,1.0,0.0,0.0,0.003241490599299701,0.0015863064860949256,0.00015863064860949255,1.58471462673611,0.8999236586382409,0.08999236586382409,0.006809269162210338,0.015660114406906112,0.0015660114406906111
BA-localized,Adaptive Katz,0.060606,1.0,0.0,0.0,0.0031735020574070695,0.001590724755530167,0.0001590724755530167,1.4889272608901518,0.8642101761882238,0.08642101761882238,0.008122400475341652,0.017021291759361793,0.0017021291759361794
BA-localized,Adaptive Katz,0.070707,1.0,0.0,0.0,0.0031977778469134393,0.0018158748273726863,0.00018158748273726862,1.5178170375631312,1.023652698736725,0.10236526987367249,0.009790057437116263,0.019616008970818635,0.0019616008970818636
BA-localized,Adaptive Katz,0.080808,1.0,0.0,0.0,0.0028473446348946012,0.0014561385781715508,0.0001456138578171551,1.5286627012310605,0.9019522445642318,0.09019522445642318,0.0109863339275104,0.02106907625351386,0.002106907625351386
BA-localized,Adaptive Katz,0.090909,1.0,0.0,0.0,0.0025310769383690064,0.001299948379120314,0.0001299948379120314,1.5444992897727272,1.0497581966239669,0.10497581966239669,0.012852049910873442,0.023505490730273533,0.002350549073027353
BA-localized,Adaptive Katz,0.10101,1.0,0.0,0.0,0.00285277503492542,0.0016121459167473878,0.0001612145916747388,1.4333552320075755,0.8363960390818126,0.08363960390818126,0.014206773618538322,0.024765581607650036,0.0024765581607650035
BA-localized,Adaptive Katz,0.111111,1.0,0.0,0.0,0.002562885605993247,0.0013328462602812598,0.000133284626028126,1.6385590277777775,0.9535303932591406,0.09535303932591406,0.015686274509803918,0.026727329294957042,0.002672732929495704
BA-localized,Adaptive Katz,0.121212,1.0,0.0,0.0,0.002472822477151338,0.0011012633905702212,0.00011012633905702212,1.605542140151515,0.9826840033160121,0.09826840033160121,0.0167498514557338,0.028460857499581365,0.0028460857499581363
BA-localized,Adaptive Katz,0.131313,1.0,0.0,0.0,0.002380236427936847,0.0010752186331607425,0.00010752186331607426,1.6829014756944443,1.1351868900521174,0.11351868900521174,0.01885125767478708,0.031065560756104206,0.0031065560756104206
BA-localized,Adaptive Katz,0.141414,1.0,0.0,0.0,0.002255865486321648,0.0013544602476289098,0.000135446024762891,1.6548755129419193,1.1669263845668179,0.11669263845668179,0.02062784709843533,0.03299846820138766,0.003299846820138766
BA-localized,Adaptive Katz,0.151515,1.0,0.0,0.0,0.0023447649464581268,0.0010778033833680402,0.00010778033833680402,1.6026627604166666,0.9864405338433562,0.09864405338433561,0.022661913250148536,0.034213561549602894,0.0034213561549602894
BA-localized,Adaptive Katz,0.161616,1.0,0.0,0.0,0.0023222699714780413,0.001175999276046313,0.0001175999276046313,1.6852049794823236,1.1172720448655464,0.11172720448655464,0.0243097643097643,0.03605630212383628,0.003605630212383628
BA-localized,Adaptive Katz,0.171717,1.0,0.0,0.0,0.002254632557793956,0.00108886931118467,0.000108886931118467,1.5760764875315658,0.9008571489112687,0.09008571489112686,0.02629035452564863,0.038105460648548625,0.0038105460648548625
BA-localized,Adaptive Katz,0.181818,1.0,0.0,0.0,0.0022960521979318326,0.0010752426596076644,0.00010752426596076644,1.680981889204545,1.0473486419232805,0.10473486419232805,0.028163992869875195,0.03812450448568942,0.003812450448568942
BA-localized,Adaptive Katz,0.191919,1.0,0.0,0.0,0.002231825286561479,0.0009524921371707232,9.524921371707233e-05,1.8686214685921718,1.1884090776444498,0.11884090776444498,0.030863537334125547,0.03927604837057952,0.003927604837057952
BA-localized,Adaptive Katz,0.20202,1.0,0.0,0.0,0.002169957966872262,0.0011155552120049052,0.00011155552120049052,1.6150440932765155,1.0901475627271933,0.10901475627271932,0.033436324024559295,0.04057089439428868,0.004057089439428868
BA-localized,Adaptive Katz,0.212121,1.0,0.0,0.0,0.0022592624514783193,0.001070806579527995,0.00010708065795279949,1.8718847656250008,1.3937476623858571,0.13937476623858572,0.036030897207367775,0.04336544390457823,0.004336544390457823
